Column,Type,NumUniqueValues
patient_id,key,8574
PATIENT_AGE,numerical,46
LOOKBACK_DAYS,numerical,1435
LVL3_CHRN_ISCH_HD_FLAG,numerical,2
LVL3_ABN_CHST_XRAY_FLAG,numerical,2
LVL3_ABN_RESP_FNC_FLAG,numerical,2
LVL3_ABN_STRSS_TST_FLAG,numerical,2
LVL3_ACS_MI_FLAG,numerical,2
LVL3_ACUT_RESP_INF_FLAG,numerical,2
LVL3_ANRX_L_APP_FLAG,numerical,2
LVL3_ANXI_DPRSN_FLAG,numerical,2
LVL3_ASBES_EXP_FLAG,numerical,2
LVL3_ASTHMA_FLAG,numerical,2
LVL3_BRTHNG_EX_FLAG,numerical,1
LVL3_CHEST_PN_FLAG,numerical,2
LVL3_CLUB_FNGRS_FLAG,numerical,2
LVL3_CHF_FLAG,numerical,2
LVL3_COPD_DX_FLAG,numerical,2
LVL3_COUGH_FLAG,numerical,2
LVL3_CRACKLES_FLAG,numerical,2
LVL3_CHROHNS_FLAG,numerical,2
LVL3_DSC_EXER_TOL_FLAG,numerical,2
LVL3_DIAB_FLAG,numerical,2
LVL3_DVT_FLAG,numerical,2
LVL3_F_H_RESP_DIS_FLAG,numerical,2
LVL3_GERD_FLAG,numerical,2
LVL3_H_RESP_DIS_FLAG,numerical,2
LVL3_HYPERLIP_FLAG,numerical,2
LVL3_HYPERS_PNEU_FLAG,numerical,2
LVL3_HYPERTEN_FLAG,numerical,2
LVL3_HYPERTHYR_FLAG,numerical,2
LVL3_HYPOTHYR_FLAG,numerical,2
LVL3_HYPOXEM_FLAG,numerical,2
LVL3_INFLU_FLAG,numerical,2
LVL3_LEG_EDMA_FLAG,numerical,2
LVL3_LUNG_CAN_FLAG,numerical,2
LVL3_MAL_FATIG_FLAG,numerical,2
LVL3_MNTL_CONFSN_FLAG,numerical,2
LVL3_OBS_SLEEP_AP_FLAG,numerical,2
LVL3_OSTEOARTH_FLAG,numerical,2
LVL3_OTHR_LUNG_INF_FLAG,numerical,2
LVL3_O2_USE_FLAG,numerical,2
LVL3_PNEU_FLAG,numerical,2
LVL3_POSTNSL_DRIP_FLAG,numerical,2
LVL3_PSOR_ARTH_FLAG,numerical,2
LVL3_PULM_H_D_FLAG,numerical,2
LVL3_RAD_EXP_FLAG,numerical,2
LVL3_RESP_ARRST_FLAG,numerical,2
LVL3_RESP_FAIL_FLAG,numerical,2
LVL3_SMOKER_FLAG,numerical,2
LVL3_SOB_DYSP_FLAG,numerical,2
LVL3_STROKE_FLAG,numerical,2
LVL3_TACHYCARD_FLAG,numerical,2
LVL3_TREMORS_FLAG,numerical,2
LVL3_TUBERCUL_FLAG,numerical,2
LVL3_WEIGHT_LS_FLAG,numerical,2
LVL3_6_M_WALK_FLAG,numerical,2
LVL3_B_G_EVAL_FLAG,numerical,2
LVL3_BRON_LAVAGE_FLAG,numerical,2
LVL3_CHEST_ULTRA_FLAG,numerical,2
LVL3_CHEST_XRAY_FLAG,numerical,2
LVL3_COR_ANGIO_FLAG,numerical,2
LVL3_COR_BYPASS_FLAG,numerical,2
LVL3_GASTROSC_FLAG,numerical,2
LVL3_LD_CT_SCAN_FLAG,numerical,2
LVL3_O_PULM_F_T_FLAG,numerical,2
LVL3_O2_EVAL_FLAG,numerical,2
LVL3_O2_SATUR_FLAG,numerical,2
LVL3_O2_THER_FLAG,numerical,2
LVL3_PULM_REHAB_FLAG,numerical,2
LVL3_THYRD_ULTRA_FLAG,numerical,2
LVL3_ANTI_ARTH_DX_FLAG,numerical,2
LVL3_ANTI_ASTH_DX_FLAG,numerical,2
LVL3_ANTI_BIO_DX_FLAG,numerical,2
LVL3_ANTI_COAG_DX_FLAG,numerical,2
LVL3_CARD_AGNT_DX_FLAG,numerical,2
LVL3_CROHNS_DX_FLAG,numerical,1
LVL3_GERD_DX_FLAG,numerical,2
LVL3_LNG_CA_AO_DX_FLAG,numerical,2
LVL3_ANTI_ARTH_LRX_FLAG,numerical,2
LVL3_ANTI_ASTH_LRX_FLAG,numerical,2
LVL3_ANTI_BIO_LRX_FLAG,numerical,2
LVL3_ANTI_COAG_LRX_FLAG,numerical,2
LVL3_ANTI_DIAB_LRX_FLAG,numerical,2
LVL3_ANTI_HYPERLP_LRX_FLAG,numerical,2
LVL3_CARD_AGNT_LRX_FLAG,numerical,2
LVL3_COUGH_SUP_LRX_FLAG,numerical,2
LVL3_CROHNS_TRT_LRX_FLAG,numerical,2
LVL3_GERD_LRX_FLAG,numerical,2
LVL3_LNG_CA_AO_LRX_FLAG,numerical,2
LVL3_PRED_LRX_FLAG,numerical,2
LVL3_THYRD_AGNT_LRX_FLAG,numerical,2
LVL3_CHRN_ISCH_HD_AVG_RXDX,numerical,2734
LVL3_ABN_CHST_XRAY_AVG_RXDX,numerical,1485
LVL3_ABN_RESP_FNC_AVG_RXDX,numerical,228
LVL3_ABN_STRSS_TST_AVG_RXDX,numerical,323
LVL3_ACS_MI_AVG_RXDX,numerical,578
LVL3_ACUT_RESP_INF_AVG_RXDX,numerical,2438
LVL3_ANRX_L_APP_AVG_RXDX,numerical,82
LVL3_ANXI_DPRSN_AVG_RXDX,numerical,1313
LVL3_ASBES_EXP_AVG_RXDX,numerical,56
LVL3_ASTHMA_AVG_RXDX,numerical,1467
LVL3_BRTHNG_EX_AVG_RXDX,numerical,1
LVL3_CHEST_PN_AVG_RXDX,numerical,2531
LVL3_CLUB_FNGRS_AVG_RXDX,numerical,2
LVL3_CHF_AVG_RXDX,numerical,1245
LVL3_COPD_DX_AVG_RXDX,numerical,3524
LVL3_COUGH_AVG_RXDX,numerical,2829
LVL3_CRACKLES_AVG_RXDX,numerical,209
LVL3_CHROHNS_AVG_RXDX,numerical,73
LVL3_DSC_EXER_TOL_AVG_RXDX,numerical,9
LVL3_DIAB_AVG_RXDX,numerical,2593
LVL3_DVT_AVG_RXDX,numerical,256
LVL3_F_H_RESP_DIS_AVG_RXDX,numerical,2
LVL3_GERD_AVG_RXDX,numerical,2250
LVL3_H_RESP_DIS_AVG_RXDX,numerical,92
LVL3_HYPERLIP_AVG_RXDX,numerical,3947
LVL3_HYPERS_PNEU_AVG_RXDX,numerical,86
LVL3_HYPERTEN_AVG_RXDX,numerical,4463
LVL3_HYPERTHYR_AVG_RXDX,numerical,109
LVL3_HYPOTHYR_AVG_RXDX,numerical,1345
LVL3_HYPOXEM_AVG_RXDX,numerical,1977
LVL3_INFLU_AVG_RXDX,numerical,208
LVL3_LEG_EDMA_AVG_RXDX,numerical,910
LVL3_LUNG_CAN_AVG_RXDX,numerical,200
LVL3_MAL_FATIG_AVG_RXDX,numerical,1625
LVL3_MNTL_CONFSN_AVG_RXDX,numerical,266
LVL3_OBS_SLEEP_AP_AVG_RXDX,numerical,1878
LVL3_OSTEOARTH_AVG_RXDX,numerical,2296
LVL3_OTHR_LUNG_INF_AVG_RXDX,numerical,34
LVL3_O2_USE_AVG_RXDX,numerical,194
LVL3_PNEU_AVG_RXDX,numerical,2062
LVL3_POSTNSL_DRIP_AVG_RXDX,numerical,213
LVL3_PSOR_ARTH_AVG_RXDX,numerical,22
LVL3_PULM_H_D_AVG_RXDX,numerical,918
LVL3_RAD_EXP_AVG_RXDX,numerical,14
LVL3_RESP_ARRST_AVG_RXDX,numerical,11
LVL3_RESP_FAIL_AVG_RXDX,numerical,1241
LVL3_SMOKER_AVG_RXDX,numerical,745
LVL3_SOB_DYSP_AVG_RXDX,numerical,4360
LVL3_STROKE_AVG_RXDX,numerical,400
LVL3_TACHYCARD_AVG_RXDX,numerical,372
LVL3_TREMORS_AVG_RXDX,numerical,124
LVL3_TUBERCUL_AVG_RXDX,numerical,33
LVL3_WEIGHT_LS_AVG_RXDX,numerical,502
LVL3_6_M_WALK_AVG_RXDX,numerical,980
LVL3_B_G_EVAL_AVG_RXDX,numerical,138
LVL3_BRON_LAVAGE_AVG_RXDX,numerical,342
LVL3_CHEST_ULTRA_AVG_RXDX,numerical,32
LVL3_CHEST_XRAY_AVG_RXDX,numerical,3787
LVL3_COR_ANGIO_AVG_RXDX,numerical,566
LVL3_COR_BYPASS_AVG_RXDX,numerical,94
LVL3_GASTROSC_AVG_RXDX,numerical,221
LVL3_LD_CT_SCAN_AVG_RXDX,numerical,5
LVL3_O_PULM_F_T_AVG_RXDX,numerical,3511
LVL3_O2_EVAL_AVG_RXDX,numerical,48
LVL3_O2_SATUR_AVG_RXDX,numerical,1625
LVL3_O2_THER_AVG_RXDX,numerical,2408
LVL3_PULM_REHAB_AVG_RXDX,numerical,474
LVL3_THYRD_ULTRA_AVG_RXDX,numerical,233
LVL3_ANTI_ARTH_DX_AVG_RXDX,numerical,293
LVL3_ANTI_ASTH_DX_AVG_RXDX,numerical,475
LVL3_ANTI_BIO_DX_AVG_RXDX,numerical,599
LVL3_ANTI_COAG_DX_AVG_RXDX,numerical,19
LVL3_CARD_AGNT_DX_AVG_RXDX,numerical,214
LVL3_CROHNS_DX_AVG_RXDX,numerical,1
LVL3_GERD_DX_AVG_RXDX,numerical,13
LVL3_LNG_CA_AO_DX_AVG_RXDX,numerical,97
LVL3_ANTI_ARTH_LRX_AVG_RXDX,numerical,3947
LVL3_ANTI_ASTH_LRX_AVG_RXDX,numerical,5878
LVL3_ANTI_BIO_LRX_AVG_RXDX,numerical,6416
LVL3_ANTI_COAG_LRX_AVG_RXDX,numerical,1540
LVL3_ANTI_DIAB_LRX_AVG_RXDX,numerical,2580
LVL3_ANTI_HYPERLP_LRX_AVG_RXDX,numerical,5372
LVL3_CARD_AGNT_LRX_AVG_RXDX,numerical,6617
LVL3_COUGH_SUP_LRX_AVG_RXDX,numerical,3015
LVL3_CROHNS_TRT_LRX_AVG_RXDX,numerical,103
LVL3_GERD_LRX_AVG_RXDX,numerical,4861
LVL3_LNG_CA_AO_LRX_AVG_RXDX,numerical,4
LVL3_PRED_LRX_AVG_RXDX,numerical,4465
LVL3_THYRD_AGNT_LRX_AVG_RXDX,numerical,1899
PATIENT_GENDER,numerical,2
SYMP_CNT,numerical,10
PROC_CNT,numerical,8
NRCOMOR_CNT,numerical,16
COMOR_CNT,numerical,8
matched_patient_id,numerical,8574
LVL3_ANTI_BIO_LRX_M_S_DT_LVL3_SOB_DYSP_M_S_DT_BEFORE,numerical,2
LVL3_ANTI_BIO_LRX_M_S_DT_LVL3_O_PULM_F_T_M_S_DT_BEFORE,numerical,2
LVL3_ANTI_BIO_LRX_M_S_DT_LVL3_O2_THER_M_S_DT_BEFORE,numerical,2
LVL3_ABN_CHST_XRAY_M_S_DT_LVL3_PRED_LRX_M_S_DT_BEFORE,numerical,2
LVL3_COUGH_SUP_LRX_M_S_DT_LVL3_HYPOXEM_M_S_DT_BEFORE,numerical,2
LVL3_ANTI_BIO_LRX_M_S_DT_LVL3_O_PULM_F_T_M_S_DT_AFTER,numerical,2
LVL3_PRED_LRX_M_S_DT_LVL3_SOB_DYSP_M_S_DT_AFTER,numerical,2
LVL3_ACUT_RESP_INF_M_S_DT_LVL3_O_PULM_F_T_M_S_DT_AFTER,numerical,2
LVL3_ACUT_RESP_INF_M_S_DT_LVL3_HYPOXEM_M_S_DT_BEFORE,numerical,2
LVL3_GERD_LRX_M_S_DT_LVL3_O2_SATUR_M_S_DT_BEFORE,numerical,2
LVL3_HYPOXEM_M_S_DT_LVL3_O_PULM_F_T_M_S_DT_AFTER,numerical,2
LVL3_O2_SATUR_M_S_DT_LVL3_PNEU_M_S_DT_AFTER,numerical,2
