Column,Type,NumUniqueValues
PATIENT_ID,key,39396
PATIENT_AGE,numerical,46
PATIENT_GENDER,categorical,2
OFEV_FLAG,categorical,2
ESBRIET_FLAG,categorical,2
IPF_DIAG_FLAG,categorical,2
FIRST_OFEV_RX_DT,others,390
FIRST_ESBRIET_RX_DT,others,378
FIRST_IPF_DIAG_FLAG,categorical,549
FIRST_IPF_EXPOSURE_DT,others,548
APPEAR_IN_PMT_DX,categorical,1
APPEAR_IN_PMT_RX,categorical,1
FIRST_DX_HIST_DT,others,1344
FIRST_RX_HIST_DT,others,1318
LOOKBACK_DAYS,numerical,1556
INDEX_DT_LATER,categorical,551
DIAGNOSING_PROVIDER,numerical,16789
DIAGNOSING_SPECIALTY,categorical,125
TREATING_PROVIDER,numerical,4496
TREATING_SPECIALTY,categorical,42
ASTHMA_COPD_FLAG,categorical,2
IN_12_MONTHS,categorical,2
IN_24_MONTHS,categorical,2
IN_36_MONTHS,categorical,2
IPF_PRED_SET_TO_Y,numerical,71
NBR_PRED_NON_PRED_SET_TO_Y,numerical,80
LVL1_IPF_PRED_FLAG,categorical,2
LVL1_IPF_PRED_M_S_DT,others,1394
LVL1_IPF_PRED_CLM_CNT,numerical,1112
LVL1_IPF_PRED_VST_CNT,numerical,676
LVL1_IPF_PRED_AVG_RXDX,numerical,35837
LVL1_NOT_PRED_FLAG,categorical,2
LVL1_NOT_PRED_M_S_DT,others,2214
LVL1_NOT_PRED_CLM_CNT,numerical,180
LVL1_NOT_PRED_VST_CNT,numerical,175
LVL1_NOT_PRED_AVG_RXDX,numerical,14484
LVL2_IPF_DIAG_FLAG,categorical,2
LVL2_IPF_DIAG_M_S_DT,others,2146
LVL2_IPF_DIAG_CLM_CNT,numerical,26
LVL2_IPF_DIAG_VST_CNT,numerical,23
LVL2_IPF_DIAG_AVG_RXDX,numerical,4746
LVL2_RFOPC_FLAG,categorical,2
LVL2_RFOPC_M_S_DT,others,1492
LVL2_RFOPC_CLM_CNT,numerical,135
LVL2_RFOPC_VST_CNT,numerical,127
LVL2_RFOPC_AVG_RXDX,numerical,4129
LVL2_IPF_RPD_KC_FLAG,categorical,2
LVL2_IPF_RPD_KC_M_S_DT,others,1962
LVL2_IPF_RPD_KC_CLM_CNT,numerical,121
LVL2_IPF_RPD_KC_VST_CNT,numerical,120
LVL2_IPF_RPD_KC_AVG_RXDX,numerical,10611
LVL2_IPF_RPD_I_FLAG,categorical,2
LVL2_IPF_RPD_I_M_S_DT,others,1571
LVL2_IPF_RPD_I_CLM_CNT,numerical,65
LVL2_IPF_RPD_I_VST_CNT,numerical,66
LVL2_IPF_RPD_I_AVG_RXDX,numerical,3571
LVL2_OL_IPF_TRT_FLAG,categorical,2
LVL2_OL_IPF_TRT_M_S_DT,others,1552
LVL2_OL_IPF_TRT_CLM_CNT,numerical,81
LVL2_OL_IPF_TRT_VST_CNT,numerical,2
LVL2_OL_IPF_TRT_AVG_RXDX,numerical,2943
LVL2_PROC_PRED_FLAG,categorical,2
LVL2_PROC_PRED_M_S_DT,others,2256
LVL2_PROC_PRED_CLM_CNT,numerical,199
LVL2_PROC_PRED_VST_CNT,numerical,197
LVL2_PROC_PRED_AVG_RXDX,numerical,19035
LVL2_TRT_DX_PRED_FLAG,categorical,2
LVL2_TRT_DX_PRED_M_S_DT,others,1805
LVL2_TRT_DX_PRED_CLM_CNT,numerical,85
LVL2_TRT_DX_PRED_VST_CNT,numerical,91
LVL2_TRT_DX_PRED_AVG_RXDX,numerical,4293
LVL2_TRT_LRX_PRED_FLAG,categorical,2
LVL2_TRT_LRX_PRED_M_S_DT,others,1688
LVL2_TRT_LRX_PRED_CLM_CNT,numerical,839
LVL2_TRT_LRX_PRED_VST_CNT,numerical,2
LVL2_TRT_LRX_PRED_AVG_RXDX,numerical,33977
LVL2_TRT_DXLRX_PRED_FLAG,categorical,2
LVL2_TRT_DXLRX_PRED_M_S_DT,others,1805
LVL2_TRT_DXLRX_PRED_CLM_CNT,numerical,85
LVL2_TRT_DXLRX_PRED_VST_CNT,numerical,91
