rec_binned,prec,thresh
"(0,0.05]",0.5498660785552086,0.4942971059569606
"(0.05,0.1]",0.2298081094390326,0.3999378749957451
"(0.1,0.15]",0.13845076122668867,0.37627034527914865
"(0.15,0.2]",0.10120622332568632,0.37022159397602084
"(0.2,0.25]",0.08180228056643468,0.3665560632944107
"(0.25,0.3]",0.06957477153617954,0.3641775071620941
"(0.3,0.35]",0.05960470280771923,0.36198460062344867
"(0.35,0.4]",0.04983169962363024,0.36037103335062665
"(0.4,0.45]",0.040639512714024224,0.35920967161655426
"(0.45,0.5]",0.034617194268908226,0.35855042189359665
"(0.5,0.55]",0.030352979655782604,0.3568228483200073
"(0.65,0.7]",0.01528582763639803,0.3559685945510864
"(0.75,0.8]",0.011820380362394162,0.35562342405319214
"(0.85,0.9]",0.010043543417660497,0.3555380702018738
"(0.9,0.95]",0.007358189953343244,0.35460367798805237
"(0.95,1]",0.005431568689318444,0.35459670424461365
