variable,clinical_name,N
LVL3_ANRX_L_APP,BREATHING EXERCISES,8574
LVL3_ASBES_EXP,CROHNS Dx,8574
LVL3_CHROHNS,LUNG CA ANTINEOPLASTICS LRx,8574
LVL3_H_RESP_DIS,LOW DOSE CT SCAN,8574
LVL3_HYPERTHYR,FAMILY HISTORY RESP DISEASE,8574
LVL3_INFLU,DECREASED EXERCISE TOLERANCE,8574
LVL3_LUNG_CAN,RESPIRATORY ARREST,8574
LVL3_MNTL_CONFSN,GERD Dx,8574
LVL3_TREMORS,RADIATION EXPOSURE,8574
LVL3_COR_BYPASS,CLUBBING OF FINGERS,8574
LVL3_LNG_CA_AO_DX,ANTICOAGULANTS Dx,8574
LVL3_CROHNS_TRT_LRX,PSORIATIC ARTHRITIS,8574
